0;1;2;3;4;5;6;7;8
Czy w tej sytuacji masz obowiązek zatrzymać pojazd?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;AK_D05_06_org.wmv;nie;Znaki Ostrzegawcze
Czy w tej sytuacji masz obowiązek zatrzymać pojazd?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;AK_D10_30_org.wmv;nie;Znaki nakazu i zakazu
Czy w przedstawionej sytuacji masz prawo kontynuować jazdę?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;AK_D11_43org.wmv;nie;Znaki informacyjne, kierunku
Czy w przedstawionej sytuacji masz prawo - mimo podawanego sygnału - skręcić w prawo?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;AK_D11_45org.wmv;nie;Znaki poziome
Jaką odległość należy zachować między jadącymi kolumnami samochodów ciężarowych?;Nie mniejszą niż 800 metrów.;Nie mniejszą niż 500 metrów.;Nie mniejszą niż 200 metrów.;B;C;BRAK;tak;Sygnalizacja świetlna
Kierujesz samochodem ciężarowym. Który z wymienionych czynników jesteś zobowiązany uwzględnić, aby zachować bezpieczny odstęp od poprzedzającego pojazdu?;Prędkość pojazdów.;Moc silnika.;Szerokość pojazdów.;A;C;BRAK;tak;Pierwszeństwo przejazdu
Czy na jezdni oznaczonej tym znakiem wolno Ci zawrócić?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_4251orgbm.jpg;nie;Zatrzymanie, postój, włączenie się do ruchu
Czy w tej sytuacji powinieneś oczekiwać, że następnym sygnałem będzie światło zielone?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;3106D15_a_org.jpg;nie;Zmiana kierunku jazdy, przejazdy kolejowe
Czy w tej sytuacji wolno Ci skręcić w prawo bez zatrzymania się przed sygnalizatorem?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;0118D14MM_a_org.jpg;nie;Wyprzedzanie, omijanie, wymijanie cofanie
Czy w tej sytuacji sygnał świetlny nadawany dla Twojego pasa ruchu zezwala Ci na zawracanie?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;2064D14MM_a_org.jpg;nie;Szczególna ostrożność
Czy w tej sytuacji nadawany sygnał świetlny oznacza, że podczas jazdy w prawo nie występuje kolizja z innymi uczestnikami ruchu?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;066D16_a_org.jpg;nie;Warunki drogowe
Czy w tej sytuacji nadawany sygnał świetlny zezwala Ci na wjazd za sygnalizator?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_0325_9550d5_a_org.jpg;nie;Prędkość, hamowanie, odstępy
Czy w tej sytuacji wolno Ci skręcić w prawo, jeśli nie spowodujesz tym utrudnienia ruchu?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;0084D18_a_org.jpg;nie;Technika jazdy
Czy w tej sytuacji wolno Ci zmienić zajmowany pas ruchu, gdy zamierzasz jechać na wprost?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;IMG_9324_org.jpg;nie;Obowiązki kierującego, dokumenty
Czy na tej drodze możesz spodziewać się rowerzystów nadjeżdżających z przeciwka?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;4152D15Xorg.jpg;nie;Awaria pojazdu, pierwsza pomoc
Czy w tej sytuacji wolno Ci wjechać na pas ruchu po lewej stronie?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;4170D15_a_org.jpg;nie;Inne
Czy ten znak poziomy wyznacza miejsce bezwzględnego zatrzymania się, nawet w sytuacji, gdy z żadnej ze stron nie nadjeżdża pojazd?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D16_01_org.wmv;nie;Znaki Ostrzegawcze
"Czy w tej sytuacji widoczna linia przerywana wyznacza Ci miejsce zatrzymania w związku ze znakiem ""stop""?";TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D16_05_org.wmv;nie;Znaki nakazu i zakazu
"Czy ta linia ciągła wyznacza Ci miejsce zatrzymania pojazdu w związku ze znakiem ""stop""?";TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D16_06_org.wmv;nie;Znaki informacyjne, kierunku
Zamierzasz zawrócić na tym skrzyżowaniu. Czy zajmujesz właściwy pas ruchu?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;MM_D14_15_org.wmv;nie;Znaki poziome
Skręcasz w lewo na skrzyżowaniu. Czy po wjechaniu na jezdnię poprzeczną znaki poziome pozwalają Ci zająć pas ruchu przy prawej krawędzi jezdni?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;MM_D14_17_org.wmv;nie;Sygnalizacja świetlna
Czy w tym miejscu wolno Ci skręcić w lewo i wjechać na stację paliw?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;MM_D14_24_org.wmv;nie;Pierwszeństwo przejazdu
Czy widoczna linia złożona z trójkątów wskazuje Ci miejsce zatrzymania pojazdu w celu ustąpienia pierwszeństwa?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;MM_D14_29_org.wmv;nie;Zatrzymanie, postój, włączenie się do ruchu
Czy w tym miejscu możesz skręcić w lewo, na parking?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;MM_D14_34_org.wmv;nie;Zmiana kierunku jazdy, przejazdy kolejowe
Zamierzasz odpocząć. Czy w tym miejscu możesz skręcić w lewo, na parking?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;MM_D14_38_org.wmv;nie;Wyprzedzanie, omijanie, wymijanie cofanie
Czy w tej sytuacji wolno Ci skręcić w lewo z zajmowanego przez Ciebie pasa ruchu?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;MM_D14_42_org.wmv;nie;Szczególna ostrożność
Czy w tym miejscu wolno Ci wjechać na pas ruchu przeznaczony dla pojazdów jadących w przeciwnym kierunku?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;0445D14MM_aorgbm.jpg;nie;Warunki drogowe
Czy w tym miejscu, bezpośrednio przed przejściem dla pieszych, wolno Ci zmienić pas ruchu?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D10MM_3org.wmv;nie;Prędkość, hamowanie, odstępy
Czy widoczny znak poziomy w kształcie trójkąta potwierdza ostrzeżenie o skrzyżowaniu z drogą z pierwszeństwem?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D10MM_10org.wmv;nie;Technika jazdy
Czy w tej sytuacji wolno Ci wjechać na sąsiedni prawy pas ruchu?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D10MM_22org.wmv;nie;Obowiązki kierującego, dokumenty
Czy widoczna poprzeczna linia przerywana wyznacza miejsce warunkowego zatrzymania pojazdu?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;D10MM_7org.wmv;nie;Awaria pojazdu, pierwsza pomoc
Czy w przedstawionej sytuacji wolno Ci zawrócić, wykorzystując widoczną po lewej stronie zatokę?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;013org.jpg;nie;Inne
Czy w tej sytuacji masz prawo wyprzedzać samochód ciężarowy?;TAK;NIE;BRAK;Tak;A,B,C,D,T,AM,A1,A2,B1,C1,D1;048D15_a_org.jpg;nie;Znaki Ostrzegawcze
Planujesz skręcić w lewo, a kierujący pojazdem z przeciwka ma zamiar jechać na wprost. Czy masz przed nim pierwszeństwo?;TAK;NIE;BRAK;Nie;A,B,C,D,T,AM,A1,A2,B1,C1,D1;KW_D22_417_org.wmv;nie;Znaki nakazu i zakazu
